Mod:Item:MetaData, Localized Name
TConstruct:ToolForgeBlock:6, Tool Forge
TConstruct:ToolForgeBlock:7, Tool Forge
TConstruct:ToolForgeBlock:8, Tool Forge
TConstruct:ToolForgeBlock:9, Tool Forge
TConstruct:ToolForgeBlock:10, Tool Forge
TConstruct:ToolForgeBlock:11, Tool Forge
TConstruct:ToolForgeBlock:12, Tool Forge
TConstruct:ToolForgeBlock:13, Tool Forge
TConstruct:CraftingStation, Crafting Station
TConstruct:CraftingSlab:0, Crafting Station
TConstruct:CraftingSlab:1, Tool Station
TConstruct:CraftingSlab:2, Part Builder
TConstruct:CraftingSlab:3, Stencil Table
TConstruct:CraftingSlab:4, Pattern Chest
TConstruct:CraftingSlab:5, Tool Forge
TConstruct:FurnaceSlab, Slab Furnace
TConstruct:HeldItemBlock, Frying Pan
TConstruct:BattleSignBlock, tile.Battlesign.name
TConstruct:CraftedSoil:0, Slimy Mud
TConstruct:CraftedSoil:1, Grout
TConstruct:CraftedSoil:2, Slimy Mud
TConstruct:CraftedSoil:3, Graveyard Soil
TConstruct:CraftedSoil:4, Consecrated Soil
TConstruct:CraftedSoil:5, Blue Slimedirt
TConstruct:CraftedSoil:6, Slime Soil
TConstruct:fluid.molten.iron, Molten Iron
TConstruct:fluid.molten.gold, Molten Gold
TConstruct:fluid.molten.copper, Molten Copper
TConstruct:fluid.molten.tin, Liquid Tin
TConstruct:fluid.molten.aluminum, Molten Aluminum
TConstruct:fluid.molten.cobalt, Molten Cobalt
TConstruct:fluid.molten.ardite, Molten Ardite
TConstruct:fluid.molten.bronze, Molten Bronze
TConstruct:fluid.molten.alubrass, Molten Aluminum Brass
TConstruct:fluid.molten.manyullyn, Molten Manyullyn
TConstruct:fluid.molten.alumite, Molten Alumite
TConstruct:fluid.molten.obsidian, Molten Obsidian
TConstruct:fluid.molten.steel, Molten Steel
TConstruct:fluid.molten.glass, Molten Glass
TConstruct:molten.stone, Seared Stone
TConstruct:molten.emerald, Liquified Emerald
TConstruct:fluid.molten.nickel, Molten Nickel
TConstruct:fluid.molten.lead, Molten Lead
TConstruct:fluid.molten.silver, Molten Silver
TConstruct:fluid.molten.shiny, Molten Shiny
TConstruct:fluid.molten.invar, Molten Invar
TConstruct:fluid.molten.electrum, Molten Electrum
TConstruct:fluid.ender, Liquified Ender
TConstruct:fluid.molten.lumium, Molten Lumium
TConstruct:fluid.molten.signalum, Molten Signalum
TConstruct:fluid.molten.mithril, Molten Mana Infused Metal
TConstruct:fluid.molten.enderium, Molten Enderium
TConstruct:liquid.blood, Blood
TConstruct:liquid.glue, Glue
TConstruct:fluid.molten.pigiron, Molten Pig Iron
TConstruct:SearedSlab:0, Seared Brick Slab
TConstruct:SearedSlab:1, Seared Stone Slab
TConstruct:SearedSlab:2, Seared Cobblestone Slab
TConstruct:SearedSlab:3, Seared Paver Slab
TConstruct:SearedSlab:4, Seared Road Slab
TConstruct:SearedSlab:5, Fancy Seared Slab
TConstruct:SearedSlab:6, Chiseled Seared Slab
TConstruct:SearedSlab:7, Chiseled Seared Slab
TConstruct:SpeedSlab:0, Rough Brownstone Slab
TConstruct:SpeedSlab:1, Brownstone Road Slab
TConstruct:SpeedSlab:2, Brownstone Slab
TConstruct:SpeedSlab:3, Brownstone Brick Slab
TConstruct:SpeedSlab:4, Brownstone Road Slab
TConstruct:SpeedSlab:5, Fancy Brownstone Slab
TConstruct:SpeedSlab:6, Chiseled Brownstone Slab
TConstruct:GlueBlock, Glue Block
TConstruct:Smeltery:0, Smeltery Controller
TConstruct:Smeltery:1, Smeltery Drain
TConstruct:Smeltery:2, Seared Bricks
TConstruct:Smeltery:4, Seared Stone
TConstruct:Smeltery:5, Seared Cobblestone
TConstruct:Smeltery:6, Seared Paver
TConstruct:Smeltery:7, Cracked Seared Bricks
TConstruct:Smeltery:8, Seared Road
TConstruct:Smeltery:9, Fancy Seared Bricks
TConstruct:Smeltery:10, Chiseled Seared Bricks
TConstruct:Smeltery:11, Chiseled Seared Bricks
TConstruct:SmelteryNether:0, Smeltery Controller
TConstruct:SmelteryNether:1, Smeltery Drain
TConstruct:SmelteryNether:2, Seared Bricks
TConstruct:SmelteryNether:4, Seared Stone
TConstruct:SmelteryNether:5, Seared Cobblestone
TConstruct:SmelteryNether:6, Seared Paver
TConstruct:SmelteryNether:7, Cracked Seared Bricks
TConstruct:SmelteryNether:8, Seared Road
TConstruct:SmelteryNether:9, Fancy Seared Bricks
TConstruct:SmelteryNether:10, Chiseled Seared Bricks
TConstruct:SmelteryNether:11, Chiseled Seared Bricks
TConstruct:LavaTank:0, Seared Tank
TConstruct:LavaTank:1, Seared Glass
TConstruct:LavaTank:2, Seared Window
TConstruct:LavaTankNether:0, Seared Tank
TConstruct:LavaTankNether:1, Seared Glass
TConstruct:LavaTankNether:2, Seared Window
TConstruct:SearedBlock:0, Casting Table
TConstruct:SearedBlock:1, Seared Faucet
TConstruct:SearedBlock:2, Casting Basin
TConstruct:SearedBlockNether:0, Casting Table
TConstruct:SearedBlockNether:1, Seared Faucet
TConstruct:SearedBlockNether:2, Casting Basin
TConstruct:CastingChannel:0, Casting Channel
TConstruct:SpeedBlock:0, Rough Brownstone
TConstruct:SpeedBlock:1, Brownstone Road
TConstruct:SpeedBlock:2, Brownstone
TConstruct:SpeedBlock:3, Brownstone Brick
TConstruct:SpeedBlock:4, Brownstone Road
TConstruct:SpeedBlock:5, Fancy Brownstone
TConstruct:SpeedBlock:6, Chiseled Brownstone
TConstruct:GlassBlock:0, Clear Glass
TConstruct:GlassPane:0, Clear Glass Pane
TConstruct:GlassBlock.StainedClear:0, White Stained Glass
TConstruct:GlassBlock.StainedClear:1, Orange Stained Glass
TConstruct:GlassBlock.StainedClear:2, Magenta Stained Glass
TConstruct:GlassBlock.StainedClear:3, Light Blue Stained Glass
TConstruct:GlassBlock.StainedClear:4, Yellow Stained Glass
TConstruct:GlassBlock.StainedClear:5, Lime Stained Glass
TConstruct:GlassBlock.StainedClear:6, Pink Stained Glass
TConstruct:GlassBlock.StainedClear:7, Gray Stained Glass
TConstruct:GlassBlock.StainedClear:8, Light Gray Stained Glass
TConstruct:GlassBlock.StainedClear:9, Cyan Stained Glass
TConstruct:GlassBlock.StainedClear:10, Purple Stained Glass
TConstruct:GlassBlock.StainedClear:11, Blue Stained Glass
TConstruct:GlassBlock.StainedClear:12, Brown Stained Glass
TConstruct:GlassBlock.StainedClear:13, Green Stained Glass
TConstruct:GlassBlock.StainedClear:14, Red Stained Glass
TConstruct:GlassBlock.StainedClear:15, Black Stained Glass
TConstruct:GlassPaneClearStained:0, White Stained Pane
TConstruct:GlassPaneClearStained:1, Orange Stained Pane
TConstruct:GlassPaneClearStained:2, Magenta Stained Pane
TConstruct:GlassPaneClearStained:3, Light Blue Stained Pane
TConstruct:GlassPaneClearStained:4, Yellow Stained Pane
TConstruct:GlassPaneClearStained:5, Lime Stained Pane
TConstruct:GlassPaneClearStained:6, Pink Stained Pane
TConstruct:GlassPaneClearStained:7, Gray Stained Pane
TConstruct:GlassPaneClearStained:8, Light Gray Stained Pane
TConstruct:GlassPaneClearStained:9, Cyan Stained Pane
TConstruct:GlassPaneClearStained:10, Purple Stained Pane
TConstruct:GlassPaneClearStained:11, Blue Stained Pane
TConstruct:GlassPaneClearStained:12, Brown Stained Pane
TConstruct:GlassPaneClearStained:13, Green Stained Pane
TConstruct:GlassPaneClearStained:14, Red Stained Pane
TConstruct:GlassPaneClearStained:15, Black Stained Pane
TConstruct:Redstone.Landmine:0, Landmine
TConstruct:Redstone.Landmine:1, Landmine
TConstruct:Redstone.Landmine:2, Landmine
TConstruct:Redstone.Landmine:3, Landmine
TConstruct:Armor.DryingRack, Drying Rack
thaumicenergistics:thaumicenergistics.block.essentia.provider, Essentia Provider
thaumicenergistics:thaumicenergistics.block.infusion.provider, Infusion Provider
thaumicenergistics:thaumicenergistics.block.gear.box, Iron Gear Box
thaumicenergistics:thaumicenergistics.block.golem.gear.box, Thaumium Gear Box
thaumicenergistics:thaumicenergistics.block.essentia.cell.workbench, Essentia Cell Workbench
thaumicenergistics:thaumicenergistics.block.arcane.assembler, Arcane Assembler
thaumicenergistics:thaumicenergistics.block.knowledge.inscriber, Knowledge Inscriber
thaumicenergistics:thaumicenergistics.block.essentia.vibration.chamber, Essentia Vibration Chamber
thaumicenergistics:thaumicenergistics.block.distillation.encoder, Distillation Pattern Encoder
ThermalDynamics:ThermalDynamics_0:0, Leadstone Fluxduct
ThermalDynamics:ThermalDynamics_0:1, Hardened Fluxduct
ThermalDynamics:ThermalDynamics_0:2, Redstone Energy Fluxduct
ThermalDynamics:ThermalDynamics_0:3, Redstone Energy Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:4, Resonant Fluxduct
ThermalDynamics:ThermalDynamics_0:5, Resonant Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:6, Cryo-Stabilized Fluxduct
ThermalDynamics:ThermalDynamics_0:7, Cryo-Stabilized Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_16:0, Temperate Fluiduct
ThermalDynamics:ThermalDynamics_16:1, Temperate Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:2, Hardened Fluiduct
ThermalDynamics:ThermalDynamics_16:3, Hardened Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:4, Flux-Plated Fluiduct
ThermalDynamics:ThermalDynamics_16:5, Flux-Plated Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:6, Super-Laminar Fluiduct
ThermalDynamics:ThermalDynamics_16:7, Super-Laminar Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_32:0, Itemduct
ThermalDynamics:ThermalDynamics_32:1, Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:2, Impulse Itemduct
ThermalDynamics:ThermalDynamics_32:3, Impulse Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:4, Warp Itemduct
ThermalDynamics:ThermalDynamics_32:5, Warp Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:6, Fluctuating Itemduct
ThermalDynamics:ThermalDynamics_32:7, Fluctuating Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_48:0, Structuralduct (Opaque)
ThermalDynamics:ThermalDynamics_48:1, Luxduct
TravellersGear:armorstand, Armor Stand
witchery:belladonna, Belladonna
witchery:mandrake, Mandrake
witchery:artichoke, Water Artichoke
witchery:snowbell, Snowbell
witchery:wormwood, Wormwood
witchery:mindrake, Minedrake
witchery:wolfsbane, Wolfsbane
witchery:garlicplant, Garlic
witchery:witchsapling:0, Rowan Sapling
witchery:witchsapling:1, Alder Sapling
witchery:witchsapling:2, Hawthorn Sapling
witchery:witchlog:0, Rowan Wood
witchery:witchlog:1, Alder Wood
witchery:witchlog:2, Hawthorn Wood
witchery:witchleaves:0, Rowan Leaves
witchery:witchleaves:1, Alder Leaves
witchery:witchleaves:2, Hawthorn Leaves
witchery:voidbramble, Void Bramble
witchery:bramble:0, Ender Bramble
witchery:bramble:1, Wild Bramble
witchery:glintweed, Glint Weed
witchery:spanishmoss, Spanish Moss
witchery:leapinglily, Leaping Lily
witchery:plantmine:0, Poppy of Webs
witchery:plantmine:1, Poppy of Ink
witchery:plantmine:2, Poppy of Thorns
witchery:plantmine:3, Poppy of Sprouting
witchery:plantmine:4, Dandelion of Webs
witchery:plantmine:5, Dandelion of Ink
witchery:plantmine:6, Dandelion of Thorns
witchery:plantmine:7, Dandelion of Sprouting
witchery:plantmine:8, Shrub of Webs
witchery:plantmine:9, Shrub of Ink
witchery:plantmine:10, Shrub of Thorns
witchery:plantmine:11, Shrub of Sprouting
witchery:embermoss, Ember Moss
witchery:crittersnare:0, Critter Snare
witchery:grassper, Grassper
witchery:bloodrose, Blood Poppy
witchery:somniancotton, Wispy Cotton
witchery:web, Web
witchery:vine, Vine
witchery:cactus, Cactus
witchery:lilypad, tile.lilypad.name
witchery:demonheart, Demon Heart
witchery:wolfhead:0, Wolf Head
witchery:wolfhead:1, Hellhound Head
witchery:witchwood:0, Rowan Planks
witchery:witchwood:1, Alder Planks
witchery:witchwood:2, Hawthorn Planks
witchery:stairswoodrowan, Rowan Stairs
witchery:stairswoodalder, Alder Stairs
witchery:stairswoodhawthorn, Hawthorn Stairs
witchery:witchwoodslab:0, Rowan Slab
witchery:witchwoodslab:1, Alder Slab
witchery:witchwoodslab:2, Hawthorn Slab
witchery:witchwooddoubleslab:0, Rowan Slab
witchery:witchwooddoubleslab:1, Alder Slab
witchery:witchwooddoubleslab:2, Hawthorn Slab
witchery:rowanwooddoor, Rowan Wood Door
witchery:alderwooddoor, Alder Wood Door
witchery:chalice, Chalice
witchery:candelabra, Candelabra
witchery:placeditem, tile.witchery:placeditem.name
witchery:alluringskull, Alluring Skull
witchery:wickerbundle:0, Wicker Bundle
witchery:wickerbundle:1, Bloodied Wicker Bundle
witchery:glowglobe, Glow Globe
witchery:statuegoddess, Statue of The Goddess
witchery:stockade:0, Oak Stockade
witchery:stockade:1, Spruce Stockade
witchery:stockade:2, Birch Stockade
witchery:stockade:3, Jungle Stockade
witchery:stockade:4, Rowan Stockade
witchery:stockade:5, Alder Stockade
witchery:stockade:6, Hawthorn Stockade
witchery:stockade:7, Acacia Stockade
witchery:stockade:8, Dark Oak Stockade
witchery:icestockade:0, Ice Stockade
witchery:perpetualice, Perpetual Ice
witchery:icedoor, Ice Door
witchery:icestairs, Ice Stairs
witchery:iceslab:0, Ice Slab
witchery:icedoubleslab:0, Ice Slab
witchery:icefence, Ice Fence
witchery:icefencegate, Ice Gate
witchery:icepressureplate, Ice Pressure Plate
witchery:snowpressureplate, Snow Pressure Plate
witchery:snowstairs, Snow Stairs
witchery:snowslab:0, Snow Slab
witchery:snowdoubleslab:0, Snow Slab
witchery:infinityegg, Infinity Egg
witchery:slurp, tile.witchery:slurp.name
witchery:pitdirt, Dirt
witchery:pitgrass, Grass
witchery:garlicgarland, Garlic Garland
witchery:bloodedwool, Blood-stained Wool
witchery:shadedglass:0, White Shaded Glass
witchery:shadedglass:1, Orange Shaded Glass
witchery:shadedglass:2, Magenta Shaded Glass
witchery:shadedglass:3, Light Blue Shaded Glass
witchery:shadedglass:4, Yellow Shaded Glass
witchery:shadedglass:5, Lime Shaded Glass
witchery:shadedglass:6, Pink Shaded Glass
witchery:shadedglass:7, Gray Shaded Glass
witchery:shadedglass:8, Silver Shaded Glass
witchery:shadedglass:9, Cyan Shaded Glass
witchery:shadedglass:10, Purple Shaded Glass
witchery:shadedglass:11, Blue Shaded Glass
witchery:shadedglass:12, Brown Shaded Glass
witchery:shadedglass:13, Green Shaded Glass
witchery:shadedglass:14, Red Shaded Glass
witchery:shadedglass:15, Black Shaded Glass
witchery:shadedglass_active:0, White Shaded Glass
witchery:shadedglass_active:1, Orange Shaded Glass
witchery:shadedglass_active:2, Magenta Shaded Glass
witchery:shadedglass_active:3, Light Blue Shaded Glass
witchery:shadedglass_active:4, Yellow Shaded Glass
witchery:shadedglass_active:5, Lime Shaded Glass
witchery:shadedglass_active:6, Pink Shaded Glass
witchery:shadedglass_active:7, Gray Shaded Glass
witchery:shadedglass_active:8, Silver Shaded Glass
witchery:shadedglass_active:9, Cyan Shaded Glass
witchery:shadedglass_active:10, Purple Shaded Glass
witchery:shadedglass_active:11, Blue Shaded Glass
witchery:shadedglass_active:12, Brown Shaded Glass
witchery:shadedglass_active:13, Green Shaded Glass
witchery:shadedglass_active:14, Red Shaded Glass
witchery:shadedglass_active:15, Black Shaded Glass
witchery:mirrorwall, Mirror Surface
witchery:refillingchest, Chest
witchery:force, Solid
witchery:tormentstone, Torment Stone
witchery:barrier, Barrier
witchery:leechchest, Leech Chest
witchery:altar, Altar
witchery:kettle, Kettle
witchery:poppetshelf, Poppet Shelf
witchery:dreamcatcher, Dream Weaver
witchery:crystalball, Crystal Ball
witchery:spiritportal, Spirit Portal
witchery:tormentportal, Torment Portal
witchery:spinningwheel, Spinning Wheel
witchery:brazier, Brazier
witchery:witchesovenidle, Witches Oven
witchery:witchesovenburning, Witches Oven
witchery:fumefunnel, Fume Funnel
witchery:filteredfumefunnel, Filtered Fume Funnel
witchery:distilleryidle, Distillery
witchery:distilleryburning, Distillery
witchery:scarecrow, Scarecrow
witchery:trent, Trent Effigy
witchery:witchsladder, Witch's Ladder
witchery:decurseteleport, Statue of Occluded Summons
witchery:decursedirected, Statue of Broken Curses
witchery:statueofworship, Statue of Hobgoblin Patron
witchery:cauldron, Witch's Cauldron
witchery:wolfaltar, Wolf Altar
witchery:silvervat, Silver Vat
witchery:beartrap, Beartrap
witchery:wolftrap, Wolftrap
witchery:wallgen, tile.witchery:wallgen.name
witchery:coffinblock, Coffin
witchery:light, tile.witchery:light.name
witchery:daylightcollector, Sun Collector
witchery:bloodcrucible, Blood Crucible
witchery:mirrorblock, Mirror
witchery:mirrorblock2, Mirror
witchery:circle, Heart Glyph
witchery:circleglyphritual, Ritual Glyph
witchery:circleglyphotherwhere, Otherwhere Glyph
witchery:circleglyphinfernal, Infernal Glyph
witchery:spiritflowing, Flowing Spirit
witchery:hollowtears, Flowing Spirit
witchery:disease, Disease
witchery:brew, tile.witchery:brew.name
witchery:brewgas, tile.witchery:brewgas.name
witchery:brewliquid, tile.witchery:brewliquid.name
witchery:clever, Lever
witchery:cwoodendoor, Wooden Door
witchery:cwoodpressureplate, Pressure Plate
witchery:cstonepressureplate, Pressure Plate
witchery:csnowpressureplate, Snow Pressure Plate
witchery:cbuttonwood, Button
witchery:cbuttonstone, Button
WitchingGadgets:WG_WallMirror, Mirror on the Wall
WitchingGadgets:WG_VoidWalkway, Void Walkway
WitchingGadgets:WG_StoneDevice:0, Ethereal Wall
WitchingGadgets:WG_StoneDevice:1, Magical Lock
WitchingGadgets:WG_StoneDevice:2, Obsidian Plate
WitchingGadgets:WG_StoneDevice:3, Obsidian Rune
WitchingGadgets:WG_StoneDevice:6, Sarcophagus
WitchingGadgets:WG_StoneDevice:7, Ageing Stone
WitchingGadgets:WG_WoodenDevice:0, Spinning Wheel
WitchingGadgets:WG_WoodenDevice:2, Thaumic Stone Extruder
WitchingGadgets:WG_WoodenDevice:3, Cutting Table
WitchingGadgets:WG_WoodenDevice:4, Thaumic Sauna Stove
WitchingGadgets:WG_WoodenDevice:5, Aspect Library
WitchingGadgets:WG_MetalDevice:0, Essentia Pump
WitchingGadgets:WG_MetalDevice:1, Arcane Terrestrial Reformer
WitchingGadgets:WG_MetalDevice:2, Terrestrial Focus: Plains
WitchingGadgets:WG_MetalDevice:3, Terrestrial Focus: Cold Taiga
WitchingGadgets:WG_MetalDevice:4, Terrestrial Focus: Desert
WitchingGadgets:WG_MetalDevice:5, Terrestrial Focus: Jungle
WitchingGadgets:WG_MetalDevice:6, Terrestrial Focus: Hell
WitchingGadgets:WG_MetalDevice:7, Void metal Block
WitchingGadgets:WG_MetalDevice:8, Terrestrial Focus: Tainted Lands
WitchingGadgets:WG_MetalDevice:9, Terrestrial Focus: Mushroom Island
WitchingGadgets:WG_RoseVine, Rose Vines
WitchingGadgets:WG_CustomAir, Glimmer of Light
IguanaTweaksTConstruct:skullBlock, tile.iguana.tcon.skull.name
minecraft:record_13, Music Disc
minecraft:record_cat, Music Disc
minecraft:record_blocks, Music Disc
minecraft:record_chirp, Music Disc
minecraft:record_far, Music Disc
minecraft:record_mall, Music Disc
minecraft:record_mellohi, Music Disc
minecraft:record_stal, Music Disc
minecraft:record_strad, Music Disc
minecraft:record_ward, Music Disc
minecraft:record_11, Music Disc
minecraft:record_wait, Music Disc
battlegear2:waraxe.wood, Wooden Waraxe
battlegear2:dagger.wood, Wooden Dagger
battlegear2:mace.wood, Wooden Mace
battlegear2:spear.wood, Wooden Spear
battlegear2:shield.wood, Wooden Shield
battlegear2:knights_armour.helmet, Knight's Helmet
battlegear2:waraxe.stone, Stone Waraxe
battlegear2:dagger.stone, Stone Dagger
battlegear2:mace.stone, Stone Mace
battlegear2:spear.stone, Stone Spear
battlegear2:shield.hide, Hide Shield
battlegear2:knights_armour.plate, Knight's Plate
battlegear2:waraxe.iron, Iron Waraxe
battlegear2:dagger.iron, Iron Dagger
battlegear2:mace.iron, Iron Mace
battlegear2:spear.iron, Iron Spear
battlegear2:shield.iron, Iron Shield
battlegear2:knights_armour.legs, Knight's Leggings
battlegear2:waraxe.diamond, Diamond Waraxe
battlegear2:dagger.diamond, Diamond Dagger
battlegear2:mace.diamond, Diamond Mace
battlegear2:spear.diamond, Diamond Spear
battlegear2:shield.diamond, Diamond Shield
battlegear2:knights_armour.boots, Knight's Boots
battlegear2:waraxe.gold, Golden Waraxe
battlegear2:dagger.gold, Golden Dagger
battlegear2:mace.gold, Golden Mace
battlegear2:spear.gold, Golden Spear
battlegear2:shield.gold, Golden Shield
battlegear2:chain, Chain
battlegear2:quiver, Quiver
battlegear2:heraldric:0, Heraldic Icon
battlegear2:mb.arrow:0, Explosive Arrow
battlegear2:mb.arrow:1, Ender Arrow
battlegear2:mb.arrow:2, Flaming Arrow
battlegear2:mb.arrow:3, Piercing Arrow
battlegear2:mb.arrow:4, Poison Arrow
battlegear2:mb.arrow:5, Mystery Arrow
battlegear2:mb.arrow:6, Leech Arrow
AgriCraft:seedPotato, Potato Seeds
AgriCraft:seedCarrot, Carrot Seeds
AgriCraft:seedSugarcane, Sugarcane Seeds
AgriCraft:seedDandelion, Dandelion Seeds
AgriCraft:seedPoppy, Poppy Seeds
AgriCraft:seedOrchid, Blue Orchid Seeds
AgriCraft:seedAllium, Allium Seeds
AgriCraft:seedTulipRed, Red Tulip Seeds
AgriCraft:seedTulipOrange, Orange Tulip Seeds
AgriCraft:seedTulipWhite, White Tulip Seeds
AgriCraft:seedTulipPink, Pink Tulip Seeds
AgriCraft:seedDaisy, Daisy Seeds
AgriCraft:seedCactus, Cactus Seeds
AgriCraft:seedShroomRed, Red Mushroom Spores
AgriCraft:seedShroomBrown, Brown Mushroom Spores
AgriCraft:cropsItem, Crop Sticks
AgriCraft:journal, Agricultural Journal
AgriCraft:magnifyingGlass, Magnifying Glass
AgriCraft:debugger, Debugger
AgriCraft:trowel, Gardening Trowel
AgriCraft:handRake:0, Wooden Hand Rake
AgriCraft:handRake:1, Iron Hand Rake
AgriCraft:clipper, Clipper
AgriCraft:clipping, Clipping
AmnesiaLights:Fat, Fat
AmnesiaLights:Bottledfat, Bottled fat
AmnesiaLights:Lanternoil, Lantern Oil
AmnesiaLights:Torchcloth, Torch cloth
AmnesiaLights:Lightbulb, Lightbulb
AmnesiaLights:Battery, Battery
AmnesiaLights:CandleHolderOff, Candle Holder
AmnesiaLights:CandleHolderOn, Candle Holder
AmnesiaLights:LanternOff, Lantern
AmnesiaLights:LanternOn, Lantern
AmnesiaLights:BullseyeLanternOff, Bullseye Lantern
AmnesiaLights:BullseyeLanternOn, Bullseye Lantern
AmnesiaLights:FlashlightOff, Flashlight
AmnesiaLights:FlashlightOn, Flashlight
AmnesiaLights:MinerhelmetOff, Minerhelmet
AmnesiaLights:MinerhelmetOn, Minerhelmet
appliedenergistics2:item.ToolCertusQuartzWrench, Certus Quartz Wrench
appliedenergistics2:item.ToolCertusQuartzCuttingKnife, Certus Quartz Cutting Knife
appliedenergistics2:item.ToolNetherQuartzWrench, Nether Quartz Wrench
appliedenergistics2:item.ToolNetherQuartzCuttingKnife, Nether Quartz Cutting Knife
appliedenergistics2:item.ToolEntropyManipulator, Entropy Manipulator
appliedenergistics2:item.ToolWirelessTerminal, Wireless Terminal
appliedenergistics2:item.ToolBiometricCard, Biometric Card
appliedenergistics2:item.ToolChargedStaff, Charged Staff
appliedenergistics2:item.ToolMassCannon, Matter Cannon
appliedenergistics2:item.ToolMemoryCard, Memory Card
appliedenergistics2:item.ToolNetworkTool, Network Tool
appliedenergistics2:item.ItemViewCell, View Cell
appliedenergistics2:item.ItemSpatialStorageCell.2Cubed, 2³ Spatial Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.16Cubed, 16³ Spatial Storage Cell
appliedenergistics2:item.ItemSpatialStorageCell.128Cubed, 128³ Spatial Storage Cell
appliedenergistics2:item.ItemFacade:0, Cable Facade - Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dirt
appliedenergistics2:item.ItemFacade:0, Cable Facade - Podzol
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cobblestone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oak Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Spruce Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Birch Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Jungle Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Acacia Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Dark Oak Wood Planks
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bedrock
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Sand
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gravel
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gold Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Iron Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Coal Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Oak Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Spruce Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Birch Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Jungle Wood
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sponge
appliedenergistics2:item.ItemFacade:0, Cable Facade - Glass
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lapis Lazuli Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lapis Lazuli Block
appliedenergistics2:item.ItemFacade:0, Cable Facade - Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Chiseled Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Smooth Sandstone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Orange Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Magenta Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Blue Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Yellow Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Lime Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Pink Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Gray Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Light Gray Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Cyan Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Purple Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Blue Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Brown Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Green Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Red Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Black Wool
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Gold
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Iron
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bricks
appliedenergistics2:item.ItemFacade:0, Cable Facade - TNT
appliedenergistics2:item.ItemFacade:0, Cable Facade - Bookshelf
appliedenergistics2:item.ItemFacade:0, Cable Facade - Moss Stone
appliedenergistics2:item.ItemFacade:0, Cable Facade - Obsidian
appliedenergistics2:item.ItemFacade:0, Cable Facade - Diamond Ore
appliedenergistics2:item.ItemFacade:0, Cable Facade - Block of Diamond
appliedenergistics2:item.ItemFacade:0, Cable Facade - Crafting Table
